method,method_label,threat,receiver,bit_errors,total_bits,frame_errors,total_frames,collisions,active_symbols,mean_posterior,ber,ber_ci_low,ber_ci_high,bler,bler_ci_low,bler_ci_high,bler_boot_low,bler_boot_high,bler_upper_bound,zero_error,stats_sufficient,collision_rate,elapsed_s
random,Random,fixed_d1,none,40943,4084000,1955,2000,512631,4096000,0.125037942675317,0.010025220372184134,0.009929060812457832,0.010122301683217332,0.9775,0.9700270953304041,0.9831421245159996,0.9705,0.9835,0.9831421245159996,False,True,0.125154052734375,30.991785666999988
random,Random,fixed_d1,brw,1240,4084000,356,2000,512631,4096000,0.12519025229614722,0.0003036238981390793,0.00028719048122443437,0.00032099735484122824,0.178,0.1618579415048414,0.19537663694428542,0.1615,0.195,0.19537663694428542,False,True,0.125154052734375,30.75057270800002
random,Random,fixed_d1,hard_tuned,1993,4084000,493,2000,512631,4096000,0.12515474519668704,0.000488001958863859,0.0004670471291444662,0.0005098964815147024,0.2465,0.22810994921020877,0.2658619937613864,0.2265,0.26551249999999993,0.2658619937613864,False,True,0.125154052734375,30.715633333
random,Random,fixed_d1,oracle,13,4084000,9,2000,512631,4096000,0.12515347367400997,3.1831537708129285e-06,1.8603348879710208e-06,5.4465776368797e-06,0.0045,0.0023692806369618757,0.008530513218759679,0.002,0.0075,0.008530513218759679,False,False,0.125154052734375,30.744823625000038
random,Random,fixed_d1,mixllr,241,4084000,89,2000,512631,4096000,0.12516200539854463,5.901077375122429e-05,5.201617002795644e-05,6.694587743357328e-05,0.0445,0.03630266512840703,0.0544437649448143,0.036,0.0535,0.0544437649448143,False,False,0.125154052734375,28.712362791999965
random,Random,fixed_d3,none,39990,4084000,1953,2000,512465,4096000,0.1250610210363964,0.009791870714985308,0.009696831196699292,0.009887832423560717,0.9765,0.9688912783026572,0.982281775638309,0.9695,0.9825,0.982281775638309,False,True,0.125113525390625,30.617256624999982
random,Random,fixed_d3,brw,1315,4084000,362,2000,512465,4096000,0.12496470010650257,0.00032198824681684625,0.0003050516684714596,0.0003398648304023212,0.181,0.16474277550948224,0.198480300655957,0.1645,0.1975,0.198480300655957,False,True,0.125113525390625,30.608460416000014
random,Random,fixed_d3,hard_tuned,1822,4084000,462,2000,512465,4096000,0.12522526043610546,0.00044613124387855044,0.00042611529260355794,0.0004670869668531011,0.231,0.2130546918733924,0.24997667956392164,0.2125,0.249,0.24997667956392164,False,True,0.125113525390625,30.69005949999996
random,Random,fixed_d3,oracle,28,4084000,12,2000,512465,4096000,0.12513554776981028,6.8560235063663075e-06,4.74369057155182e-06,9.908954514922518e-06,0.006,0.0034355943769362857,0.01045844833694151,0.003,0.0095,0.01045844833694151,False,False,0.125113525390625,30.538800917000003
random,Random,fixed_d3,mixllr,264,4084000,92,2000,512465,4096000,0.12505026637498629,6.464250734573947e-05,5.73011804060721e-05,7.292432364994716e-05,0.046,0.037657023359311315,0.056083655572066266,0.037,0.055,0.056083655572066266,False,False,0.125113525390625,28.649510125000006
random,Random,delay_uniform,none,40890,4084000,1953,2000,511483,4096000,0.1249460520615421,0.010012242899118512,0.009916145274236165,0.01010926229972126,0.9765,0.9688912783026572,0.982281775638309,0.97,0.983,0.982281775638309,False,True,0.124873779296875,30.870820124999966
random,Random,delay_uniform,brw,1136,4084000,319,2000,511483,4096000,0.12494860099476042,0.0002781586679725759,0.00026244887069103455,0.00029480855294737097,0.1595,0.14410828614967944,0.17619722304885374,0.1439875,0.176,0.17619722304885374,False,True,0.124873779296875,30.75411812499999
random,Random,delay_uniform,hard_tuned,1781,4084000,458,2000,511483,4096000,0.12486768754357104,0.0004360920666013712,0.0004163077054998241,0.000456816218288397,0.229,0.21111457885251428,0.24792446077392477,0.211,0.248,0.24792446077392477,False,True,0.124873779296875,30.577916833000018
random,Random,delay_uniform,oracle,38,4084000,18,2000,511483,4096000,0.1248412282966605,9.30460333006856e-06,6.779385156298973e-06,1.277041497125778e-05,0.009,0.005700499728577478,0.014182040701612799,0.005,0.0135,0.014182040701612799,False,False,0.124873779296875,30.719187417000057
random,Random,delay_uniform,mixllr,228,4084000,79,2000,511483,4096000,0.12490714819970174,5.582761998041136e-05,4.903631126952041e-05,6.355943463860217e-05,0.0395,0.03180890787160724,0.04895669267442662,0.031,0.048,0.04895669267442662,False,False,0.124873779296875,28.670013625000024
random,Random,oracle_best_lag,none,89420,4084000,1999,2000,697815,4096000,0.1585880971386875,0.021895200783545544,0.021753720442411882,0.022037580545918492,0.9995,0.997173137496734,0.9999117322692946,0.9985,1.0,0.9999117322692946,False,True,0.170364990234375,32.296017332999895
random,Random,oracle_best_lag,brw,3125,4084000,732,2000,697815,4096000,0.15865376969616657,0.0007651811949069539,0.0007388290057695828,0.0007924725555401146,0.366,0.34516410573985196,0.3873496629315238,0.3445,0.388,0.3873496629315238,False,True,0.170364990234375,32.31327083399992
random,Random,oracle_best_lag,hard_tuned,5576,4084000,1044,2000,697815,4096000,0.15861304767772397,0.0013653281096963762,0.0013299822015383905,0.0014016120603406062,0.522,0.5000869368168244,0.5438287131028006,0.5004875,0.5435125,0.5438287131028006,False,True,0.170364990234375,32.37804041700008
random,Random,oracle_best_lag,oracle,84,4084000,48,2000,697815,4096000,0.1584875610867912,2.0568070519098922e-05,1.6614859860131618e-05,2.5461853456404228e-05,0.024,0.01814955670329462,0.03167547230845807,0.017,0.031,0.03167547230845807,False,False,0.170364990234375,32.41694600000005
random,Random,oracle_best_lag,mixllr,907,4084000,258,2000,697815,4096000,0.1586871434740443,0.00022208619000979433,0.00020809698839113075,0.00023701558480648764,0.129,0.11501757435418919,0.1444048747285004,0.1145,0.144,0.1444048747285004,False,True,0.170364990234375,30.262177457999996
random,Random,causal_adaptive_lag,none,40689,4084000,1947,2000,512549,4096000,0.12511726257235414,0.009963026444662095,0.009867164081454494,0.010059810676177172,0.9735,0.9655014766396228,0.9796830795850309,0.9665,0.9805,0.9796830795850309,False,True,0.125134033203125,31.014491125000063
random,Random,causal_adaptive_lag,brw,1237,4084000,343,2000,512311,4096000,0.12515372148857545,0.00030288932419196866,0.000286476346010446,0.00032024234354289193,0.1715,0.1556135301272191,0.18864596993656405,0.1559875,0.189,0.18864596993656405,False,True,0.125075927734375,31.018814749999933
random,Random,causal_adaptive_lag,hard_tuned,1659,4084000,443,2000,512311,4096000,0.12491208717997374,0.00040621939275220373,0.000387140402325414,0.00042623822996160174,0.2215,0.20384444010190442,0.2402233552337534,0.20248750000000001,0.2395,0.2402233552337534,False,True,0.125075927734375,31.01155499999993
random,Random,causal_adaptive_lag,oracle,11,4084000,6,2000,512311,4096000,0.1251322348588069,2.693437806072478e-06,1.5040253627087042e-06,4.823456153925534e-06,0.003,0.001375629923630137,0.006529915073935175,0.001,0.0055,0.006529915073935175,False,False,0.125075927734375,30.98077454099996
random,Random,causal_adaptive_lag,mixllr,306,4084000,103,2000,512311,4096000,0.1252605415564208,7.492654260528893e-05,6.698889034024125e-05,8.380466488832414e-05,0.0515,0.04264472005033904,0.06207487136094474,0.042,0.0615,0.06207487136094474,False,True,0.125075927734375,28.769185207999953
random,Random,candidate_aware,none,39795,4084000,1945,2000,511857,4096000,0.12502426648138912,0.009744123408423115,0.009649314758093436,0.009839854338865467,0.9725,0.9643768884848933,0.9788115018343229,0.965,0.9795,0.9788115018343229,False,True,0.124965087890625,30.740493625
random,Random,candidate_aware,brw,1220,4084000,322,2000,511857,4096000,0.12491751061869352,0.00029872673849167485,0.00028243005094694416,0.0003159634750365537,0.161,0.14554475026587177,0.17775500779081765,0.1455,0.177,0.17775500779081765,False,True,0.124965087890625,30.61987491600007
random,Random,candidate_aware,hard_tuned,1657,4084000,446,2000,511857,4096000,0.12497482103797561,0.0004057296767874633,0.0003866624623202713,0.000425736738958528,0.223,0.20529779188563174,0.24176425230818233,0.204,0.2415,0.24176425230818233,False,True,0.124965087890625,30.76429020799992
random,Random,candidate_aware,oracle,18,4084000,11,2000,511857,4096000,0.12492168413716308,4.4074436826640546e-06,2.7880428997907274e-06,6.967447145601198e-06,0.0055,0.0030738970095438656,0.009822062751615183,0.0025,0.009,0.009822062751615183,False,False,0.124965087890625,30.749076875000128
random,Random,candidate_aware,mixllr,232,4084000,85,2000,511857,4096000,0.12489746800291895,5.6807051909892265e-05,4.995258977780103e-05,6.460201814675451e-05,0.0425,0.034501179710098195,0.05225291855224816,0.034,0.0515,0.05225291855224816,False,False,0.124965087890625,28.4842907499999
bcd,Block-Cyclic Det.,fixed_d1,none,981,4084000,178,2000,16007,4096000,0.03528617055015428,0.00024020568070519098,0.00022563891213166394,0.0002557126083699643,0.089,0.07729578599356526,0.10228002687162457,0.0774875,0.1015,0.10228002687162457,False,True,0.003907958984375,28.94263950000004
bcd,Block-Cyclic Det.,fixed_d1,brw,26,4084000,10,2000,16007,4096000,0.03534471723089356,6.366307541625857e-06,4.344747850541629e-06,9.328466227716227e-06,0.005,0.002718180858498604,0.009179695949941696,0.002,0.008012499999999931,0.009179695949941696,False,False,0.003907958984375,29.020143625000173
bcd,Block-Cyclic Det.,fixed_d1,hard_tuned,61,4084000,17,2000,16007,4096000,0.03536077041567503,1.4936336924583741e-05,1.1629030370922243e-05,1.9184226351124054e-05,0.0085,0.00531376773968562,0.013570689737785913,0.0045,0.0125,0.013570689737785913,False,False,0.003907958984375,29.09211012500009
bcd,Block-Cyclic Det.,fixed_d1,oracle,0,4084000,0,2000,16007,4096000,0.035355673627369105,0.0,0.0,9.406109714435848e-07,0.0,0.0,0.0019170472812528286,0.0,0.0,0.0015,True,False,0.003907958984375,29.05271749999997
bcd,Block-Cyclic Det.,fixed_d1,mixllr,3,4084000,1,2000,16007,4096000,0.03538366315130141,7.345739471106758e-07,2.498214627520518e-07,2.1599360210162566e-06,0.0005,8.826773070547112e-05,0.0028268625032661053,0.0,0.0015,0.0028268625032661053,False,False,0.003907958984375,26.916131291000056
bcd,Block-Cyclic Det.,fixed_d3,none,3532,4084000,568,2000,48135,4096000,0.04113519376756275,0.0008648383937316357,0.0008367948469915138,0.0008938209244902378,0.284,0.26466587909353007,0.30416228533197115,0.264,0.3035124999999999,0.30416228533197115,False,True,0.011751708984375,29.033601334000195
bcd,Block-Cyclic Det.,fixed_d3,brw,85,4084000,23,2000,48135,4096000,0.04112697438989326,2.0812928501469148e-05,1.683376160346526e-05,2.5732667217178832e-05,0.0115,0.007675227286212839,0.017197727907571177,0.007,0.0165,0.017197727907571177,False,False,0.011751708984375,28.948595833000127
bcd,Block-Cyclic Det.,fixed_d3,hard_tuned,190,4084000,51,2000,48135,4096000,0.04109390654449479,4.65230166503428e-05,4.036159909194755e-05,5.362495766006186e-05,0.0255,0.019447915824308826,0.0333713620456001,0.019,0.033,0.0333713620456001,False,False,0.011751708984375,29.10275958300008
bcd,Block-Cyclic Det.,fixed_d3,oracle,0,4084000,0,2000,48135,4096000,0.04117580457980441,0.0,0.0,9.406109714435848e-07,0.0,0.0,0.0019170472812528286,0.0,0.0,0.0015,True,False,0.011751708984375,29.08317633300021
bcd,Block-Cyclic Det.,fixed_d3,mixllr,20,4084000,6,2000,48135,4096000,0.04120244722088133,4.897159647404505e-06,3.1703072657573274e-06,7.5646137878510814e-06,0.003,0.001375629923630137,0.006529915073935175,0.001,0.0055,0.006529915073935175,False,False,0.011751708984375,26.977267041000005
bcd,Block-Cyclic Det.,delay_uniform,none,3979,4084000,625,2000,56315,4096000,0.042563392596545846,0.0009742899118511263,0.0009444978528240825,0.001005020748994053,0.3125,0.29256179062568843,0.33315710210478133,0.2925,0.3315,0.33315710210478133,False,True,0.013748779296875,29.03589450000004
bcd,Block-Cyclic Det.,delay_uniform,brw,144,4084000,32,2000,56315,4096000,0.042704877307056424,3.5259549461312436e-05,2.99518025945137e-05,4.150784096851661e-05,0.016,0.011356235350080733,0.022499466418172,0.0109875,0.022,0.022499466418172,False,False,0.013748779296875,29.088162208000085
bcd,Block-Cyclic Det.,delay_uniform,hard_tuned,179,4084000,51,2000,56315,4096000,0.04265173830268828,4.382957884427032e-05,3.786199219923821e-05,5.073769400758054e-05,0.0255,0.019447915824308826,0.0333713620456001,0.0185,0.0325,0.0333713620456001,False,False,0.013748779296875,29.015794790999962
bcd,Block-Cyclic Det.,delay_uniform,oracle,0,4084000,0,2000,56315,4096000,0.04261115721488659,0.0,0.0,9.406109714435848e-07,0.0,0.0,0.0019170472812528286,0.0,0.0,0.0015,True,False,0.013748779296875,29.120886250000012
