method,method_label,condition,feedback_error_prob,feedback_delay,bit_errors,total_bits,frame_errors,total_frames,collisions,active_symbols,mean_posterior,ber,ber_ci_low,ber_ci_high,bler,bler_ci_low,bler_ci_high,bler_boot_low,bler_boot_high,stats_sufficient,collision_rate,causal_lag_counts,causal_lag_estimates,pending_feedback,elapsed_s
random,Random,exact,0.0,0,287,3975774,100,1947,498542,3987456,243.44856472689935,7.218720178762676e-05,6.430503241094147e-05,8.103544732991553e-05,0.05136106831022085,0.04240973449343524,0.06207925814050151,0.04210323574730354,0.06111967128916281,True,0.12502758651129944,"[17448, 7524, 6076, 3915, 3688, 4141, 2833, 2928, 3325, 2649, 3025, 2805]","[0.09612142, 0.11625848, 0.09946739, 0.09042634, 0.105899, 0.09925952, 0.11506805, 0.10771951, 0.11148588, 0.09229942, 0.12864191, 0.11148652]",1,29.560174459000002
random,Random,corrupt_10,0.1,0,276,4504652,100,2206,565049,4517888,275.896718082858,6.126999377532382e-05,5.4455604568391205e-05,6.893705369086574e-05,0.04533091568449683,0.03741191224000436,0.05483065928341891,0.03671804170444243,0.05395512239347229,True,0.12506928015922483,"[19994, 8603, 6987, 5227, 4246, 3785, 3227, 3432, 3994, 3101, 2900, 2890]","[0.09916603, 0.11287308, 0.11308925, 0.10876962, 0.10784892, 0.09303455, 0.1078203, 0.14062555, 0.12016257, 0.10171593, 0.10210344, 0.10649773]",1,32.916113083
random,Random,corrupt_20,0.2,0,293,4553660,100,2230,570655,4567040,278.89564246248955,6.434384648831929e-05,5.738624978672608e-05,7.214493199496012e-05,0.04484304932735426,0.037007785957058906,0.05424374759103247,0.036771300448430494,0.05336322869955157,True,0.12495073395459641,"[19855, 8337, 6664, 5572, 4723, 4274, 3005, 3755, 3590, 3159, 3500, 2696]","[0.11444237, 0.11185718, 0.10394196, 0.12243852, 0.11180851, 0.10607615, 0.1111056, 0.10782828, 0.11262987, 0.11427221, 0.11332659, 0.11106778]",1,33.237506958
random,Random,corrupt_30,0.3,0,299,4837498,100,2369,607238,4851712,296.44665907803187,6.180881108374619e-05,5.518890833868043e-05,6.922271537642284e-05,0.04221190375685943,0.03482883051175309,0.05107722868278047,0.03419164204305614,0.05065428450823132,True,0.1251595313159561,"[21706, 9583, 6774, 4701, 4459, 4404, 3135, 4460, 4246, 3393, 3293, 3285]","[0.10778589, 0.13729537, 0.11129683, 0.1255601, 0.11158725, 0.11655307, 0.11402468, 0.10556552, 0.10200454, 0.10451511, 0.12319948, 0.13528843]",1,35.36551720900002
random,Random,delay_1,0.0,1,308,4190184,100,2052,525637,4202496,256.80319424047883,7.350512531191947e-05,6.57419640953971e-05,8.21849266009625e-05,0.04873294346978557,0.04023091159790343,0.05892141259815828,0.03996101364522417,0.05847953216374269,True,0.12507733499329923,"[18594, 8572, 6754, 4473, 4643, 3574, 3259, 3111, 3199, 2777, 2486, 2170]","[0.10115044, 0.10679466, 0.10354231, 0.10982071, 0.11202754, 0.11042073, 0.0978258, 0.11567152, 0.097117, 0.10247743, 0.12395825, 0.10173731]",2,30.462791416000016
random,Random,delay_2,0.0,2,281,4294326,100,2103,538271,4306944,262.9629605767867,6.543518121353619e-05,5.821879842089088e-05,7.35459890339248e-05,0.0475511174512601,0.039251441595512054,0.05750071693415458,0.038991916310033285,0.056585829766999524,True,0.12497747823050404,"[19223, 8601, 7090, 4755, 4041, 3617, 3036, 3527, 3338, 2733, 2632, 2600]","[0.10470528, 0.11236482, 0.11417521, 0.11304479, 0.10569734, 0.11344052, 0.11248957, 0.09680746, 0.08742343, 0.11972675, 0.10102739, 0.11368033]",3,31.077634625
random,Random,delay_4,0.0,4,301,4498526,100,2203,564047,4511744,275.386787273015,6.691080589508653e-05,5.976698327304581e-05,7.490845074035325e-05,0.04539264639128461,0.037463049489129714,0.054904917410324876,0.03676804357694054,0.05537902859736723,True,0.12501750985871538,"[19198, 9947, 7764, 4795, 4405, 4263, 3095, 3213, 3074, 3104, 2918, 2517]","[0.12438033, 0.11704535, 0.08775618, 0.11324499, 0.13483694, 0.09778698, 0.08918399, 0.10941202, 0.10474083, 0.11010829, 0.11259899, 0.11388866]",5,32.54521187499998
mcsh_l2,MCSH $L_h=2$,exact,0.0,0,492,2042000,125,1000,302263,2048000,141.64153325845257,0.00024094025465230167,0.00022057228266441262,0.00026318854029024633,0.125,0.1059262306352052,0.14694383822896098,0.104975,0.145,True,0.14758935546875,"[1378, 1270, 25167, 974, 270, 363, 261, 239, 293, 363, 199, 223]","[0.0, 0.0, 0.17069362, 0.11907193, 0.11472444, 0.12584597, 0.12746474, 0.11909139, 0.10822812, 0.11546026, 0.11430976, 0.12053152]",1,14.778260667000012
mcsh_l2,MCSH $L_h=2$,corrupt_10,0.1,0,468,2042000,125,1000,301995,2048000,141.56180645982366,0.00022918707149853086,0.0002093441692258351,0.00025091033164193274,0.125,0.1059262306352052,0.14694383822896098,0.105,0.145,True,0.14745849609375,"[1895, 753, 25182, 884, 279, 321, 323, 242, 321, 401, 199, 200]","[0.00520097, 0.00017243, 0.1542981, 0.11782002, 0.11688007, 0.12876164, 0.12338546, 0.11853935, 0.10865773, 0.11628165, 0.11421687, 0.11697804]",1,14.763488082999999
mcsh_l2,MCSH $L_h=2$,corrupt_20,0.2,0,446,2042000,120,1000,301257,2048000,141.2457808562653,0.00021841332027424095,0.00019906367530993636,0.0002396433636448479,0.12,0.10129926060130962,0.14160907584771212,0.09997500000000001,0.141,True,0.14709814453125,"[1938, 710, 24808, 1087, 303, 339, 332, 302, 333, 366, 218, 264]","[0.0276062, 0.02288017, 0.1635826, 0.11993552, 0.11801687, 0.12448421, 0.11546791, 0.11453826, 0.1113542, 0.11109154, 0.11527859, 0.11923194]",1,14.761463416999987
