variant,variant_label,epsilon,ema_alpha,threat,bler,bler_boot_low,bler_boot_high,ber,collision_rate,frame_errors,total_frames,stats_sufficient,elapsed_s,best_open_loop_bler,ratio_vs_best_open
base,ε=0.10 α=0.10,0.1,0.1,fixed_d1,0.999,0.9975,1.0,0.3770208129285015,0.758922,1998,2000,True,28.9,0.001,999.0
base,ε=0.10 α=0.10,0.1,0.1,fixed_d3,0.999,0.9975,1.0,0.3466385896180215,0.719863,1998,2000,True,28.3,0.02,49.95
base,ε=0.10 α=0.10,0.1,0.1,causal_adaptive_lag,0.999,0.9975,1.0,0.3610394221351616,0.74144,1998,2000,True,28.4,0.0183,54.59
base,ε=0.10 α=0.10,0.1,0.1,candidate_aware,1.0,1.0,1.0,0.4967005386875612,1.0,2000,2000,True,28.1,0.0422,23.7
high_explore,ε=0.50 α=0.10,0.5,0.1,fixed_d1,0.997,0.9945,0.999,0.11182761998041137,0.336265,1994,2000,True,27.9,0.001,997.0
high_explore,ε=0.50 α=0.10,0.5,0.1,fixed_d3,0.9975,0.995,0.9995,0.09932737512242899,0.31968,1995,2000,True,27.9,0.02,49.88
high_explore,ε=0.50 α=0.10,0.5,0.1,causal_adaptive_lag,0.997,0.9945,0.999,0.10370494613124388,0.325906,1994,2000,True,28.3,0.0183,54.48
high_explore,ε=0.50 α=0.10,0.5,0.1,candidate_aware,1.0,1.0,1.0,0.496769833496572,1.0,2000,2000,True,28.1,0.0422,23.7
fast_adapt,ε=0.10 α=0.50,0.1,0.5,fixed_d1,0.483,0.46,0.5035,0.0013817335945151812,0.214699,966,2000,True,28.0,0.001,483.0
fast_adapt,ε=0.10 α=0.50,0.1,0.5,fixed_d3,0.4625,0.440987,0.4845,0.0013028893241919686,0.209843,925,2000,True,28.1,0.02,23.12
fast_adapt,ε=0.10 α=0.50,0.1,0.5,causal_adaptive_lag,0.454,0.433,0.4755,0.001208619000979432,0.211365,908,2000,True,28.5,0.0183,24.81
fast_adapt,ε=0.10 α=0.50,0.1,0.5,candidate_aware,1.0,1.0,1.0,0.4967005386875612,1.0,2000,2000,True,28.7,0.0422,23.7
entropy_reg,entropy-reg ε=0.10,0.1,0.1,fixed_d1,0.9995,0.9985,1.0,0.37877424094025464,0.7635,1999,2000,True,29.0,0.001,999.5
entropy_reg,entropy-reg ε=0.10,0.1,0.1,fixed_d3,0.999,0.9975,1.0,0.34974706170421155,0.724617,1998,2000,True,29.6,0.02,49.95
entropy_reg,entropy-reg ε=0.10,0.1,0.1,causal_adaptive_lag,0.999,0.9975,1.0,0.3641163075416259,0.746907,1998,2000,True,30.7,0.0183,54.59
entropy_reg,entropy-reg ε=0.10,0.1,0.1,candidate_aware,1.0,1.0,1.0,0.49641650342801175,1.0,2000,2000,True,30.2,0.0422,23.7
ucb,UCB β=1.0 α=0.10,0.0,0.1,fixed_d1,0.9375,0.927,0.9485,0.08158398628795299,0.215788,1875,2000,True,30.5,0.001,937.5
ucb,UCB β=1.0 α=0.10,0.0,0.1,fixed_d3,0.9675,0.959,0.975,0.1918308031341822,0.449017,1935,2000,True,30.4,0.02,48.38
ucb,UCB β=1.0 α=0.10,0.0,0.1,causal_adaptive_lag,0.9895,0.9845,0.9935,0.33769270323212536,0.698287,1979,2000,True,30.3,0.0183,54.07
ucb,UCB β=1.0 α=0.10,0.0,0.1,candidate_aware,1.0,1.0,1.0,0.4965421155729677,1.0,2000,2000,True,29.9,0.0422,23.7
