method,method_label,threat,receiver,bit_errors,total_bits,frame_errors,total_frames,collisions,active_symbols,mean_posterior,ber,ber_ci_low,ber_ci_high,bler,bler_ci_low,bler_ci_high,bler_boot_low,bler_boot_high,bler_upper_bound,zero_error,stats_sufficient,stopped_early,collision_rate,causal_lag_counts,causal_lag_estimates,elapsed_s
random,Random,fixed_d1,mixllr,284,4806868,100,2354,603374,4820992,0.12508390054697668,5.9082129985678824e-05,5.259886521422836e-05,6.63644601419034e-05,0.04248088360237893,0.03505153957196757,0.05140103257113484,0.034834324553950725,0.05055225148683093,0.05140103257113484,False,True,True,0.12515556964209856,,,34.73209583299999
random,Random,fixed_d3,mixllr,273,4084000,107,2000,511783,4096000,0.1249194410655807,6.684622918707149e-05,5.937334762263542e-05,7.525959597035802e-05,0.0535,0.04446618753651621,0.06424573568564257,0.044,0.064,0.06424573568564257,False,True,True,0.124947021484375,,,29.722721291
random,Random,causal_adaptive_lag,mixllr,310,4084000,106,2000,512182,4096000,0.12505303969524212,7.590597453476983e-05,6.791372122170573e-05,8.483869602329265e-05,0.053,0.0440104572057973,0.06370338306364273,0.043,0.063,0.06370338306364273,False,True,True,0.12504443359375,"[17858, 7788, 6332, 4074, 3742, 4184, 2981, 3013, 3349, 2694, 3110, 2875]","[0.12062085, 0.11183475, 0.12943766, 0.11846788, 0.09419406, 0.10794388, 0.11021562, 0.11030466, 0.09853342, 0.11044581, 0.10839748, 0.11130292]",29.62595412500002
random,Random,candidate_aware,mixllr,283,4839540,100,2370,606857,4853760,0.12494502625617265,5.847663207660232e-05,5.204914033962198e-05,6.569779562964124e-05,0.04219409282700422,0.03481408382730194,0.05105578674188122,0.03459915611814346,0.05063291139240506,0.05105578674188122,False,True,True,0.12502822554061183,,,34.72908445799999
bcd,Block-Cyclic Det.,fixed_d1,mixllr,9,10210000,3,5000,40186,10240000,0.0353667806505232,8.81488736532811e-07,4.637683490371627e-07,1.6754530616350174e-06,0.0006,0.00020407465419435217,0.0017627060485286613,0.0,0.0014,0.0017627060485286613,False,False,False,0.0039244140625,,,68.69767233300001
bcd,Block-Cyclic Det.,fixed_d3,mixllr,84,10210000,30,5000,120178,10240000,0.04116636591240266,8.22722820763957e-06,6.645936900088303e-06,1.0184757925207761e-05,0.006,0.004206136160498145,0.008552353361218252,0.004,0.0082,0.008552353361218252,False,False,False,0.0117361328125,,,68.53368616700004
bcd,Block-Cyclic Det.,causal_adaptive_lag,mixllr,1361100,4084000,2000,2000,2806337,4096000,0.5394165890934162,0.3332761998041136,0.3328191840458407,0.3337335292068578,1.0,0.9980829527187471,1.0,1.0,1.0,1.0,False,True,True,0.685140869140625,"[2742, 2517, 2467, 2349, 2347, 2281, 2272, 43598, 364, 394, 356, 313]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",28.215803207999954
bcd,Block-Cyclic Det.,candidate_aware,mixllr,2031529,4084000,2000,2000,4096000,4096000,0.7726693280741322,0.4974360920666014,0.4969511753513305,0.4979210136051522,1.0,0.9980829527187471,1.0,1.0,1.0,1.0,False,True,True,1.0,,,27.86073162499997
lfsr,LFSR Pseudo-Random,fixed_d1,mixllr,270,4084000,138,2000,533918,4096000,0.12898149219354402,6.611165523996082e-05,5.868238172952599e-05,7.448141535114273e-05,0.069,0.058698269797796125,0.08095422495864382,0.0575,0.0805,0.08095422495864382,False,True,True,0.13035107421875,,,31.16218491699999
lfsr,LFSR Pseudo-Random,fixed_d3,mixllr,315,7451258,100,3649,926640,7473152,0.12428177475135015,4.227474072163385e-05,3.785701976228938e-05,4.720796282817606e-05,0.02740476842970677,0.022584150341081032,0.0332193826396532,0.022197862428062484,0.03288572211564812,0.0332193826396532,False,True,True,0.12399587215675527,,,57.12994204200004
lfsr,LFSR Pseudo-Random,causal_adaptive_lag,mixllr,468,4084000,169,2000,523646,4096000,0.12703155081896028,0.00011459353574926543,0.00010467158876674177,0.00012545587812735873,0.0845,0.07309256807381286,0.09750049821690827,0.0725,0.09701249999999993,0.09750049821690827,False,True,True,0.12784326171875,"[5339, 31615, 2695, 1492, 819, 7755, 2999, 2286, 931, 3609, 1765, 695]","[0.10723316, 0.11390543, 0.10984649, 0.10397066, 0.1061514, 0.1153181, 0.11095207, 0.11326422, 0.10286973, 0.11172746, 0.1061312, 0.10028746]",31.632429916999968
lfsr,LFSR Pseudo-Random,candidate_aware,mixllr,2027703,4084000,2000,2000,4096000,4096000,0.7726456682497024,0.4964992654260529,0.4960143551022966,0.4969841823354679,1.0,0.9980829527187471,1.0,1.0,1.0,1.0,False,True,True,1.0,,,32.14327387499998
mcsh_l2,MCSH $L_h=2$,fixed_d1,mixllr,10,10210000,5,5000,39886,10240000,0.035319112360189565,9.79431929480901e-07,5.320261470195634e-07,1.8030815758476016e-06,0.001,0.00042721349110880897,0.002338953050058159,0.0002,0.002,0.002338953050058159,False,False,False,0.0038951171875,,,74.63471425
mcsh_l2,MCSH $L_h=2$,fixed_d3,mixllr,988,4084000,275,2000,667022,4096000,0.1529415100721277,0.00024191968658178256,0.0002272994286910093,0.0002574801003393766,0.1375,0.12310079987934974,0.15328905939955856,0.1225,0.153,0.15328905939955856,False,True,True,0.16284716796875,,,30.17698941699996
mcsh_l2,MCSH $L_h=2$,causal_adaptive_lag,mixllr,981,4084000,251,2000,605664,4096000,0.1418570418682132,0.00024020568070519098,0.00022563891213166394,0.0002557126083699643,0.1255,0.11169516279841635,0.140740705615242,0.1115,0.14,0.140740705615242,False,True,True,0.1478671875,"[2738, 2575, 50560, 1862, 527, 676, 611, 494, 501, 594, 424, 438]","[0.0, 0.0, 0.18056079, 0.12988869, 0.10505381, 0.11913072, 0.09635909, 0.10907574, 0.12344396, 0.11604153, 0.13221166, 0.13125536]",30.697644459000003
mcsh_l2,MCSH $L_h=2$,candidate_aware,mixllr,1005,4084000,287,2000,674475,4096000,0.1544427291949003,0.0002460822722820764,0.0002313328951051851,0.0002617717974950408,0.1435,0.12881830318012089,0.15954855153141234,0.1285,0.1585,0.15954855153141234,False,True,True,0.164666748046875,,,30.48198329200011
pash_c15,PASH-cap $p_{\max}=0.15$,fixed_d1,mixllr,218,10210000,86,5000,975781,10240000,0.10305665575194892,2.1351616062683644e-05,1.8699194162861656e-05,2.438026649656242e-05,0.0172,0.013949219247445882,0.021192073750701243,0.013795,0.0208,0.021192073750701243,False,False,False,0.09529111328125,,,79.08393875000002
pash_c15,PASH-cap $p_{\max}=0.15$,fixed_d3,mixllr,256,10207958,100,4999,1025491,10237952,0.10663748620780833,2.5078473089328935e-05,2.2188849789121455e-05,2.8344397379343175e-05,0.020004000800160033,0.016475292737039526,0.02426984390151885,0.016398279655931186,0.024004800960192037,0.02426984390151885,False,True,True,0.10016563859646929,,,79.46760895800003
pash_c15,PASH-cap $p_{\max}=0.15$,causal_adaptive_lag,mixllr,299,4539366,100,2223,536561,4552704,0.11976790865200262,6.586822917561616e-05,5.881356305425148e-05,7.376903757986642e-05,0.0449842555105713,0.037124751353666,0.054413628270649814,0.03688708951866847,0.053531264057579846,0.054413628270649814,False,True,True,0.11785545469242015,"[3641, 2669, 3940, 3314, 2770, 1634, 20462, 10677, 6501, 5367, 4702, 3236]","[0.050393, 0.05399034, 0.07538575, 0.06848847, 0.10689672, 0.10739427, 0.15344192, 0.10856339, 0.11676232, 0.111543, 0.10321147, 0.10912155]",35.90199725000002
pash_c15,PASH-cap $p_{\max}=0.15$,candidate_aware,mixllr,656,4084000,174,2000,607926,4096000,0.14229440786703387,0.00016062683643486777,0.00014879722900090495,0.00017339675266554486,0.087,0.075426473216681,0.10015700783763384,0.0749875,0.099,0.10015700783763384,False,True,True,0.14841943359375,,,32.117615791999924
pash_linear,PASH-linear,fixed_d1,mixllr,298,6687550,100,3275,737076,6707200,0.11385471994543346,4.456041450157382e-05,3.978028277572672e-05,4.991491415891877e-05,0.030534351145038167,0.025169649836867567,0.03699909524604042,0.024427480916030534,0.0366412213740458,0.03699909524604042,False,True,True,0.10989324904580153,,,51.365133000000014
pash_linear,PASH-linear,fixed_d3,mixllr,281,8125118,100,3979,905327,8148992,0.1147169538583782,3.458411311688027e-05,3.0770026876714564e-05,3.88709544970614e-05,0.025131942699170646,0.020707291591459516,0.030472616252788624,0.020356873586328223,0.03040965066599648,0.030472616252788624,False,True,True,0.1110968080469339,,,62.66109904199993
pash_linear,PASH-linear,causal_adaptive_lag,mixllr,302,4770112,100,2336,574270,4784128,0.12130984581291958,6.331088242791783e-05,5.656197013239737e-05,7.086501047417859e-05,0.04280821917808219,0.035322579254973924,0.051795057733744224,0.0351027397260274,0.05094178082191781,0.051795057733744224,False,True,True,0.12003650404002568,"[10781, 5893, 3793, 2973, 2105, 1992, 11511, 9840, 6184, 5520, 5693, 6131]","[0.09650976, 0.08099906, 0.08514343, 0.08533332, 0.08068743, 0.10287723, 0.10632363, 0.12613167, 0.09760145, 0.11344385, 0.09897698, 0.10667303]",37.315532333999954
pash_linear,PASH-linear,candidate_aware,mixllr,394,4084000,131,2000,565016,4096000,0.13469719240653838,9.647404505386876e-05,8.740712748775893e-05,0.0001064813921023317,0.0655,0.05546852874487878,0.07719738534252993,0.055,0.0765,0.07719738534252993,False,True,True,0.137943359375,,,31.878282207999973
pash_nocap,PASH no-cap,fixed_d1,mixllr,75,10210000,29,5000,704884,10240000,0.08335103448376709,7.345739471106758e-06,5.860788933414157e-06,9.206929082127042e-06,0.0058,0.004041457970253703,0.008317338632240715,0.0038,0.008,0.008317338632240715,False,False,False,0.068836328125,,,78.82227833299999
pash_nocap,PASH no-cap,fixed_d3,mixllr,118,10210000,41,5000,750331,10240000,0.08668233856969845,1.1557296767874633e-05,9.651683930534171e-06,1.3839145509391389e-05,0.0082,0.006050485563239226,0.011104626069918922,0.0058,0.0106,0.011104626069918922,False,False,False,0.07327451171875,,,79.06583491600009
pash_nocap,PASH no-cap,causal_adaptive_lag,mixllr,601,4084000,176,2000,558086,4096000,0.13334031875866653,0.0001471596474045054,0.00013585608667753677,0.0001594035422629598,0.088,0.07636089079305262,0.10121875616669972,0.0755,0.1005,0.10121875616669972,False,True,True,0.13625146484375,"[4463, 2984, 2377, 2003, 1408, 1366, 38713, 4748, 2011, 863, 622, 442]","[0.0664354, 0.05614234, 0.05729906, 0.07586638, 0.0563514, 0.07856867, 0.12696992, 0.14099223, 0.11969895, 0.11312575, 0.10063736, 0.10204274]",32.23377633299992
pash_nocap,PASH no-cap,candidate_aware,mixllr,3253,4084000,709,2000,830463,4096000,0.18257217855132424,0.0007965230166503428,0.0007696275952648403,0.0008243575505707119,0.3545,0.33383244494000236,0.37572541581884217,0.3335,0.3745,0.37572541581884217,False,True,True,0.202749755859375,,,32.289349082999934
