method,method_label,threat,receiver,bit_errors,total_bits,frame_errors,total_frames,collisions,active_symbols,mean_posterior,ber,ber_ci_low,ber_ci_high,bler,bler_ci_low,bler_ci_high,bler_boot_low,bler_boot_high,bler_upper_bound,zero_error,stats_sufficient,stopped_early,collision_rate,causal_lag_counts,causal_lag_estimates,elapsed_s
random,Random,fixed_d1,mixllr,953,4084000,276,2000,512889,4096000,0.12503576256101157,0.00023334965719882468,0.00021899877796229585,0.0002486407084243016,0.138,0.12357689890264027,0.1538110433289868,0.1225,0.153,0.1538110433289868,False,True,True,0.125217041015625,,,28.682078250000018
random,Random,fixed_d3,mixllr,834,4084000,263,2000,511783,4096000,0.12494204335409931,0.00020421155729676788,0.0001908156903079063,0.0002185476510898105,0.1315,0.1173929008553126,0.1470199629909707,0.116,0.146,0.1470199629909707,False,True,True,0.124947021484375,,,28.898026749999985
random,Random,causal_adaptive_lag,mixllr,885,4084000,246,2000,511959,4096000,0.12510056513246318,0.00021669931439764937,0.00020288632890741557,0.00023145250319982154,0.123,0.10932424977571752,0.13812120387434712,0.109,0.1375,0.13812120387434712,False,True,True,0.124989990234375,"[19850, 10921, 9091, 8469, 6796, 6873]","[0.11200886, 0.11102195, 0.12924667, 0.10629289, 0.0902985, 0.08867202]",29.34478470799999
random,Random,candidate_aware,mixllr,786,4084000,232,2000,511857,4096000,0.12491429747583113,0.00019245837414299705,0.0001794669000760264,0.00020639009712449476,0.116,0.10269607466146144,0.13077621765054076,0.101,0.1305,0.13077621765054076,False,True,True,0.124965087890625,,,28.922368334000026
mcsh_l2,MCSH $L_h=2$,fixed_d1,mixllr,58,10210000,18,5000,39886,10240000,0.05421421076605857,5.680705190989226e-06,4.39481324028296e-06,7.342837467943492e-06,0.0036,0.002278440754413044,0.005683733736639628,0.002,0.005204999999999973,0.005683733736639628,False,False,False,0.0038951171875,,,71.86080558399999
mcsh_l2,MCSH $L_h=2$,fixed_d3,mixllr,2895,4084000,634,2000,667022,4096000,0.14702590470784782,0.0007088638589618022,0.0006835165838887447,0.0007351504114760573,0.317,0.296974733219106,0.3377269060858325,0.297,0.338,0.3377269060858325,False,True,True,0.16284716796875,,,28.95015916699998
mcsh_l2,MCSH $L_h=2$,causal_adaptive_lag,mixllr,2566,4084000,586,2000,602278,4096000,0.13777043843259745,0.0006283055827619981,0.0006044680877654032,0.0006530825067477873,0.293,0.2734650517855275,0.3133286057889111,0.2745,0.3135,0.3133286057889111,False,True,True,0.14704052734375,"[3151, 2920, 51387, 2593, 949, 1000]","[0.0, 0.0, 0.1805565, 0.12619805, 0.11332811, 0.13122704]",29.841432749999967
mcsh_l2,MCSH $L_h=2$,candidate_aware,mixllr,2914,4084000,642,2000,674475,4096000,0.1482233793002145,0.0007135161606268365,0.0006880843893075675,0.0007398872006352911,0.321,0.30089919242157886,0.3417871105051096,0.30098749999999996,0.3415,0.3417871105051096,False,True,True,0.164666748046875,,,28.876436917000035
pash_c15,PASH-cap $p_{\max}=0.15$,fixed_d1,mixllr,330,4347418,100,2129,416183,4360192,0.1078473435157644,7.590712464271896e-05,6.814746883673304e-05,8.45502639873573e-05,0.04697040864255519,0.038770234427564276,0.056802485231309666,0.03851573508689526,0.055894786284640674,0.056802485231309666,False,True,True,0.09545061318400658,,,31.71490045799999
pash_c15,PASH-cap $p_{\max}=0.15$,fixed_d3,mixllr,314,4084000,100,2000,410229,4096000,0.11046367095837323,7.688540646425073e-05,6.883890223899353e-05,8.587237702243781e-05,0.05,0.04128123361873197,0.060444108934395585,0.041,0.0595,0.060444108934395585,False,True,True,0.100153564453125,,,30.007222667000008
pash_c15,PASH-cap $p_{\max}=0.15$,causal_adaptive_lag,mixllr,401,4084000,113,2000,392289,4096000,0.10799647046553905,9.818805093046033e-05,8.903699647004452e-05,0.00010827953164880381,0.0565,0.04720544161779287,0.0674949793206784,0.0465,0.06651249999999993,0.0674949793206784,False,True,True,0.095773681640625,"[4760, 6320, 12720, 13405, 12811, 11984]","[0.0688889, 0.07995873, 0.07161236, 0.08740488, 0.07458079, 0.07502839]",30.392924916000027
pash_c15,PASH-cap $p_{\max}=0.15$,candidate_aware,mixllr,1871,4084000,433,2000,607926,4096000,0.13869293208572256,0.00045812928501469147,0.00043783994966619495,0.00047935836949176784,0.2165,0.19900242443668037,0.23508454137178997,0.1985,0.23401249999999996,0.23508454137178997,False,True,True,0.14841943359375,,,30.446344917000033
