method,method_label,threat,receiver,bit_errors,total_bits,frame_errors,total_frames,collisions,active_symbols,mean_posterior,ber,ber_ci_low,ber_ci_high,bler,bler_ci_low,bler_ci_high,bler_boot_low,bler_boot_high,bler_upper_bound,zero_error,stats_sufficient,stopped_early,collision_rate,causal_lag_counts,causal_lag_estimates,elapsed_s
random,Random,fixed_d1,mixllr,271,4084000,103,2000,512889,4096000,0.1250437856979987,6.635651322233105e-05,5.891267698884689e-05,7.474083559593007e-05,0.0515,0.04264472005033904,0.06207487136094474,0.0425,0.0615,0.06207487136094474,False,True,True,0.125217041015625,,,29.94143649999998
random,Random,fixed_d3,mixllr,300,4084000,104,2000,511783,4096000,0.12491113303458595,7.345739471106758e-05,6.56023156042782e-05,8.225294659963776e-05,0.052,0.04309972020955815,0.06261795415444439,0.0425,0.0625,0.06261795415444439,False,True,True,0.124947021484375,,,29.43496241599999
random,Random,causal_adaptive_lag,mixllr,316,4084000,105,2000,511959,4096000,0.12498026717341532,7.737512242899119e-05,6.930162196259135e-05,8.638908830705648e-05,0.0525,0.04355496702511151,0.06316079029160977,0.043,0.062,0.06316079029160977,False,True,True,0.124989990234375,"[19850, 10921, 9091, 8469, 6796, 6873]","[0.11200886, 0.11102195, 0.12924667, 0.10629289, 0.0902985, 0.08867202]",29.593956375000005
random,Random,candidate_aware,mixllr,270,4084000,102,2000,511857,4096000,0.12495786790994312,6.611165523996082e-05,5.868238172952599e-05,7.448141535114273e-05,0.051,0.04218996991731571,0.06153153854124933,0.0415,0.0605,0.06153153854124933,False,True,True,0.124965087890625,,,29.449572707999977
mcsh_l2,MCSH $L_h=2$,fixed_d1,mixllr,14,10210000,4,5000,39886,10240000,0.020395146510651555,1.3712047012732614e-06,8.168324023367463e-07,2.301820569310359e-06,0.0008,0.00031114697610157055,0.0020553266458434205,0.0002,0.0016,0.0020553266458434205,False,False,False,0.0038951171875,,,75.16099245799995
mcsh_l2,MCSH $L_h=2$,fixed_d3,mixllr,1184,4084000,352,2000,667022,4096000,0.1576342612991592,0.0002899118511263467,0.00027386413160563656,0.0003068996362299645,0.176,0.15993569077771505,0.19330655586053677,0.159,0.194,0.19330655586053677,False,True,True,0.16284716796875,,,28.922869959000025
mcsh_l2,MCSH $L_h=2$,causal_adaptive_lag,mixllr,996,4084000,305,2000,602278,4096000,0.14398985963725303,0.00024387855044074436,0.00022919739333777584,0.0002594998597254759,0.1525,0.13741148677809725,0.16892086108237345,0.1374875,0.169,0.16892086108237345,False,True,True,0.14704052734375,"[3151, 2920, 51387, 2593, 949, 1000]","[0.0, 0.0, 0.1805565, 0.12619805, 0.11332811, 0.13122704]",29.35173583400001
mcsh_l2,MCSH $L_h=2$,candidate_aware,mixllr,1209,4084000,365,2000,674475,4096000,0.1593228880453877,0.00029603330068560236,0.00027981229225592736,0.0003131943631823799,0.1825,0.16618583937643755,0.20003148564715795,0.1665,0.2,0.20003148564715795,False,True,True,0.164666748046875,,,28.961911833999977
pash_c15,PASH-cap $p_{\max}=0.15$,fixed_d1,mixllr,234,10210000,82,5000,975781,10240000,0.0993785322800472,2.2918707149853085e-05,2.016433396207697e-05,2.6049307692466867e-05,0.0164,0.013232664150440193,0.020309857170819026,0.012995,0.02,0.020309857170819026,False,False,False,0.09529111328125,,,74.86296662499996
pash_c15,PASH-cap $p_{\max}=0.15$,fixed_d3,mixllr,241,10210000,94,5000,1025687,10240000,0.10356828088630957,2.3604309500489717e-05,2.0806427099998824e-05,2.6778418739909907e-05,0.0188,0.015388157833120362,0.022950678518802583,0.0152,0.0228,0.022950678518802583,False,False,False,0.10016474609375,,,74.70209512500003
pash_c15,PASH-cap $p_{\max}=0.15$,causal_adaptive_lag,mixllr,252,10210000,97,5000,979392,10240000,0.09964879323127722,2.4681684622918706e-05,2.1816683180571288e-05,2.792291209348228e-05,0.0194,0.01592960668422978,0.023608308425359093,0.0158,0.0232,0.023608308425359093,False,False,False,0.09564375,"[11625, 15515, 34517, 33510, 31324, 28509]","[0.07590801, 0.06897042, 0.08662881, 0.11573281, 0.06864269, 0.07338879]",77.23902112500002
pash_c15,PASH-cap $p_{\max}=0.15$,candidate_aware,mixllr,685,4084000,231,2000,607926,4096000,0.14527813921753935,0.0001677277179236043,0.0001556296076588226,0.0001807661236267662,0.1155,0.10222324031966884,0.1302509690396146,0.102,0.1295,0.1302509690396146,False,True,True,0.14841943359375,,,30.917393542000013
