method,label,short_delay_collision,worst_lag,worst_lag_collision,candidate_collision,usage_cv,max_inclusion_prob,top_s_mass_fraction,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12
random,Random,0.12493894331879246,8,0.12519771217280987,0.12517312500000002,0.037595033838339655,0.125,0.125,0.12490591868373674,0.12497196795384818,0.1251291399839904,0.124896479683747,0.12490229813146479,0.1247402090842344,0.12494168919821079,0.12519771217280987,0.12506939574567555,0.1250681571476286,0.12492097197167101,0.1251247786353916
bcd,Block-Cyclic Det.,0.0,8,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
sbs,Staggered Block-Shift,0.0,8,0.5000978649172009,0.5000159375000001,0.028329164647987536,0.5,0.5,0.0,0.0,0.24985824828230266,0.0,0.24981940273606937,0.0,0.0,0.5000978649172009,0.0,0.0,0.2501436493619295,0.0
mcsh_l1,MCSH $L_h=1$,0.07149125275110046,2,0.14298250550220093,0.14276625000000004,0.03223059614248616,0.14285357142857139,0.14285357142857139,0.0,0.14298250550220093,0.12228107697952104,0.12539792250467038,0.12487216383049718,0.12510752486316915,0.1250921081180319,0.12495065020699789,0.12522530137580978,0.12495543169672678,0.12511212166766889,0.1249442411788292
mcsh_l2,MCSH $L_h=2$,0.0,3,0.16680862684277237,0.16663375,0.02740987910141289,0.1666535714285714,0.1666535714285714,0.0,0.0,0.16680862684277237,0.13883335835334934,0.11577066649983322,0.12411685689494055,0.1265881609252954,0.12491340311164531,0.12469340646497028,0.12502056195724784,0.12513717678893566,0.12508280289361132
mcsh_l4,MCSH $L_h=4$,0.0,5,0.2499950992659327,0.24989145833333334,0.0172585716070259,0.24992690476190477,0.24992690476190477,0.0,0.0,0.0,0.0,0.2499950992659327,0.1875691454745695,0.1406369959610121,0.10536629440438032,0.079093618513324,0.1218252129258517,0.13853602926438166,0.1388725649893077
mcsh_l6,MCSH $L_h=6$,0.0,7,0.4998248589692235,0.4995248958333333,0.007142453114694983,0.4996435714285713,0.4996435714285713,0.0,0.0,0.0,0.0,0.0,0.0,0.4998248589692235,0.25018529647435905,0.12501857510184997,0.0625371576486306,0.03122233497026793,0.015596807337610267
pash_a08,PASH $\alpha=0.8$,0.08505410200062222,7,0.1402952675412244,0.17699083333333335,0.027300472066278437,0.17686601937526078,0.1768660193752608,0.08513390178035607,0.08497430222088835,0.08511440197451804,0.08501499115959435,0.0849954120787454,0.08496675176878919,0.1402952675412244,0.13653157552083334,0.1331980898951446,0.12985303941215764,0.12733106584485865,0.12484180783881313
pash_a14,PASH $\alpha=1.4$,0.06869862238587505,7,0.1621720408572001,0.2125740625,0.023480173445449403,0.21276412235109074,0.2127641223510907,0.06877896412615855,0.06861828064559156,0.06869455006337136,0.0687432237456632,0.06873634050717385,0.06868033306634629,0.1621720408572001,0.1506695087139423,0.14112245792426367,0.1331621576486306,0.1265679286096078,0.12119179781475542
pash_c15,PASH-cap $p_{\max}=0.15$,0.09832351574356488,7,0.13099213899459244,0.1499872916666667,0.030714813339576034,0.14999167363312615,0.14999167363312615,0.09824079399213176,0.09840623749499798,0.09827313054499363,0.09829519865892711,0.098281510677344,0.09828408673741827,0.13099213899459244,0.1293731428619124,0.12841750567688506,0.1273681738476954,0.12638596579140776,0.12541370121625234
pash_c14,PASH-cap $p_{\max}=0.14$,0.10415285562072732,7,0.12911367581280458,0.14000364583333333,0.03241393737207233,0.1399961290758444,0.1399961290758444,0.10420104854304194,0.10410466269841269,0.10398280635047698,0.1041397701494529,0.10410024607941275,0.10407144823788547,0.12911367581280458,0.12808399689503208,0.12729214669738861,0.12644601703406816,0.12588402819536312,0.12513260993049982
