experiment,scenario,scheme,x_name,x_value,n_phys,n_active,snr_db,jsr_db,channel,csi_nmse_db,sync_error_prob,jammer_est_error_db,bit_errors,total_bits,frame_errors,total_frames,collisions,active_symbols,collision_variance_sum,max_symbol_collision_sum,adjacent_overlap_sum,detected_collisions,false_alarms,positive_symbols,negative_symbols,posterior_collision_sum,sync_error_symbols,ber,ber_ci_low,ber_ci_high,fer,collision_rate,collision_variance,max_symbol_collision,adjacent_overlap,pd,pfa,mean_posterior,elapsed_s,ms_per_frame
no_jam,none,random_k7,snr_db,0.0,512,64,0.0,5.0,awgn,-300.0,0.0,0.0,23399,151800,299,300,0,153600,0.0,0.0,37.38169642857144,0,1,0,153600,22.894840676391862,0,0.15414361001317523,0.15233591462963514,0.1559688094739144,0.9966666666666667,0.0,0.0,0.0,0.12460565476190479,0.0,6.510416666666667e-06,0.00014905495232025952,1.140777167,3.8025905566666665
no_jam,none,random_k7,snr_db,4.0,512,64,4.0,5.0,awgn,-300.0,0.0,0.0,13,151800,3,300,0,153600,0.0,0.0,37.38169642857144,0,3,0,153600,14.620962924024306,0,8.563899868247695e-05,5.005074910725069e-05,0.00014652832645447618,0.01,0.0,0.0,0.0,0.12460565476190479,0.0,1.953125e-05,9.518856070328324e-05,1.13336325,3.7778774999999998
no_jam,none,random_k7,snr_db,8.0,512,64,8.0,5.0,awgn,-300.0,0.0,0.0,0,151800,0,300,0,153600,0.0,0.0,37.38169642857144,0,1,0,153600,7.119918446248288,0,0.0,0.0,2.53054124571411e-05,0.0,0.0,0.0,0.0,0.12460565476190479,0.0,6.510416666666667e-06,4.6353635717762294e-05,1.1299545000000002,3.766515000000001
no_jam,none,random_k7,snr_db,12.0,512,64,12.0,5.0,awgn,-300.0,0.0,0.0,0,151800,0,300,0,153600,0.0,0.0,37.38169642857144,0,0,0,153600,3.8757323201388942,0,0.0,0.0,2.53054124571411e-05,0.0,0.0,0.0,0.0,0.12460565476190479,0.0,0.0,2.5232632292570927e-05,1.1245172499999998,3.748390833333333
no_jam,none,mc2_k7,snr_db,0.0,512,64,0.0,5.0,awgn,-300.0,0.0,0.0,23270,151800,300,300,0,153600,0.0,0.0,0.0,0,1,0,153600,22.948234866379263,0,0.15329380764163372,0.15149023785827923,0.15511492451138634,1.0,0.0,0.0,0.0,0.0,0.0,6.510416666666667e-06,0.00014940257074465667,1.1522573329999997,3.8408577766666654
no_jam,none,mc2_k7,snr_db,4.0,512,64,4.0,5.0,awgn,-300.0,0.0,0.0,7,151800,2,300,0,153600,0.0,0.0,0.0,0,0,0,153600,12.13416246383801,0,4.61133069828722e-05,2.2337879779048657e-05,9.519181281133091e-05,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,7.899845354061204e-05,1.1470551660000003,3.823517220000001
no_jam,none,mc2_k7,snr_db,8.0,512,64,8.0,5.0,awgn,-300.0,0.0,0.0,0,151800,0,300,0,153600,0.0,0.0,0.0,0,3,0,153600,9.555980912346362,0,0.0,0.0,2.53054124571411e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.953125e-05,6.22134173980883e-05,1.1453894590000004,3.817964863333335
no_jam,none,mc2_k7,snr_db,12.0,512,64,12.0,5.0,awgn,-300.0,0.0,0.0,0,151800,0,300,0,153600,0.0,0.0,0.0,0,0,0,153600,4.500026912229676,0,0.0,0.0,2.53054124571411e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.929705020982862e-05,1.1484129159999998,3.8280430533333325
core_ber,blind_pbj,random_k7,snr_db,4.0,512,64,4.0,5.0,awgn,-300.0,0.0,0.0,6806,151800,275,300,38554,153600,0.6790084838867188,97.46875,37.638392857142854,11884,2945,38554,115046,38387.059487797356,0,0.04483530961791831,0.04380575157250173,0.045887903923786985,0.9166666666666666,0.25100260416666664,0.0022633616129557293,0.32489583333333333,0.12546130952380952,0.3082429838667842,0.025598456269666045,0.2499157518736807,1.1205024999999988,3.73500833333333
core_ber,blind_pbj,random_k7,snr_db,8.0,512,64,8.0,5.0,awgn,-300.0,0.0,0.0,1408,151800,148,300,38554,153600,0.6790084838867188,97.46875,37.638392857142854,20097,3475,38554,115046,38421.02439151381,0,0.00927536231884058,0.008805396652150627,0.009770163964249337,0.49333333333333335,0.25100260416666664,0.0022633616129557293,0.32489583333333333,0.12546130952380952,0.5212688696373917,0.030205309180675557,0.25013687754891806,1.1176298750000004,3.7254329166666684
