scheme,memory,lag,collision_mean,collision_std_across_seeds,usage_cv_mean
random,0,1,0.12473098743435859,0.0005651275563456653,0.04189133227809401
random,0,2,0.12501875937968987,0.0008287775310388648,0.04189133227809401
random,0,3,0.12470329309482113,0.0006752522804706831,0.04189133227809401
random,0,4,0.1251096799924925,0.0005372503967107336,0.04189133227809401
random,0,5,0.12519125469336673,0.0005887132892009556,0.04189133227809401
random,0,6,0.12484899223835755,0.0006200876511179148,0.04189133227809401
random,0,7,0.1249178249436514,0.0004070156487529495,0.04189133227809401
random,0,8,0.12502465869238483,0.00067118358887445,0.04189133227809401
random,0,9,0.12502916718867452,0.0005920697255092333,0.04189133227809401
random,0,10,0.1251517465538847,0.000581543752159315,0.04189133227809401
random,0,11,0.12492322637252444,0.0006314248365773118,0.04189133227809401
random,0,12,0.12520060180541623,0.0005102780761549088,0.04189133227809401
mcsh_l1,1,1,0.0,0.0,0.03643979120386116
mcsh_l1,1,2,0.14302580977988996,0.000763497876096957,0.03643979120386116
mcsh_l1,1,3,0.12227119558418813,0.0007739260196524088,0.03643979120386116
mcsh_l1,1,4,0.12519120683183185,0.0006582968996408258,0.03643979120386116
mcsh_l1,1,5,0.12485704787234045,0.0006011774356597016,0.03643979120386116
mcsh_l1,1,6,0.1250275804331497,0.0005890502163565148,0.03643979120386116
mcsh_l1,1,7,0.1251398932506887,0.0005322840943474119,0.03643979120386116
mcsh_l1,1,8,0.12493287355961924,0.0006595929527104127,0.03643979120386116
mcsh_l1,1,9,0.12480542157354046,0.0006849923457162556,0.03643979120386116
mcsh_l1,1,10,0.12512257205513785,0.0005178892998458744,0.03643979120386116
mcsh_l1,1,11,0.12529593099774378,0.0006919697493980859,0.03643979120386116
mcsh_l1,1,12,0.12503957184052159,0.0007138432635116648,0.03643979120386116
mcsh_l2,2,1,0.0,0.0,0.030585581388973448
mcsh_l2,2,2,0.0,0.0,0.030585581388973448
mcsh_l2,2,3,0.16657180385288967,0.0007706213560763531,0.030585581388973448
mcsh_l2,2,4,0.13872446665415414,0.0005993215163089502,0.030585581388973448
mcsh_l2,2,5,0.11584617490613267,0.0005879395233677169,0.030585581388973448
mcsh_l2,2,6,0.1242725416249374,0.0007609028568617151,0.030585581388973448
mcsh_l2,2,7,0.12666365358126722,0.0004040352019593182,0.030585581388973448
mcsh_l2,2,8,0.12486222444889779,0.0005871839577790755,0.030585581388973448
mcsh_l2,2,9,0.12462356708844902,0.000644820732098868,0.030585581388973448
mcsh_l2,2,10,0.12503837719298247,0.0006186503218137958,0.030585581388973448
mcsh_l2,2,11,0.12521308598646277,0.0005318356390937293,0.030585581388973448
mcsh_l2,2,12,0.12495278805165495,0.0005924728418607873,0.030585581388973448
mcsh_l4,4,1,0.0,0.0,0.019327468340080062
mcsh_l4,4,2,0.0,0.0,0.019327468340080062
mcsh_l4,4,3,0.0,0.0,0.019327468340080062
mcsh_l4,4,4,0.0,0.0,0.019327468340080062
mcsh_l4,4,5,0.2500158401126408,0.00046905779067896674,0.019327468340080062
mcsh_l4,4,6,0.18751193196044064,0.0004896073666764298,0.019327468340080062
mcsh_l4,4,7,0.1406883921863261,0.0005569009058530618,0.019327468340080062
mcsh_l4,4,8,0.10528928951653307,0.0005468858075896904,0.019327468340080062
mcsh_l4,4,9,0.07906148208469055,0.0004940974441530997,0.019327468340080062
mcsh_l4,4,10,0.12212249373433588,0.0006893993974178487,0.019327468340080062
mcsh_l4,4,11,0.13837682533216347,0.0005703658850008122,0.019327468340080062
mcsh_l4,4,12,0.13875062688064194,0.0006503518948511198,0.019327468340080062
mcsh_l6,6,1,0.0,0.0,0.007915777925399952
mcsh_l6,6,2,0.0,0.0,0.007915777925399952
mcsh_l6,6,3,0.0,0.0,0.007915777925399952
mcsh_l6,6,4,0.0,0.0,0.007915777925399952
mcsh_l6,6,5,0.0,0.0,0.007915777925399952
mcsh_l6,6,6,0.0,0.0,0.007915777925399952
mcsh_l6,6,7,0.5000788489231155,0.0006975272448891044,0.007915777925399952
mcsh_l6,6,8,0.24998414798346696,0.0008207945868621989,0.007915777925399952
mcsh_l6,6,9,0.1248347845151591,0.0006046661371516957,0.007915777925399952
mcsh_l6,6,10,0.06261513157894737,0.0004601978990846205,0.007915777925399952
mcsh_l6,6,11,0.03117244296816245,0.0002978444409873773,0.007915777925399952
mcsh_l6,6,12,0.015656931732698092,0.00020868959120429366,0.007915777925399952
