method,label,short_delay_collision,worst_lag,worst_lag_collision,candidate_collision,usage_cv,max_inclusion_prob,top_s_mass_fraction,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12
random,Random,0.12493894331879246,8,0.12519771217280987,0.12517312500000002,0.037595033838339655,0.125,0.125,0.12490591868373674,0.12497196795384818,0.1251291399839904,0.124896479683747,0.12490229813146479,0.1247402090842344,0.12494168919821079,0.12519771217280987,0.12506939574567555,0.1250681571476286,0.12492097197167101,0.1251247786353916
bcd,Block-Cyclic Det.,0.0,8,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
sbs,Staggered Block-Shift,0.0,8,0.5000978649172009,0.5000159375000001,0.028329164647987536,0.5,0.5,0.0,0.0,0.24985824828230266,0.0,0.24981940273606937,0.0,0.0,0.5000978649172009,0.0,0.0,0.2501436493619295,0.0
mcsh_l1,MCSH $L_h=1$,0.07149125275110046,2,0.14298250550220093,0.14276625000000004,0.03223059614248616,0.14285357142857139,0.14285357142857139,0.0,0.14298250550220093,0.12228107697952104,0.12539792250467038,0.12487216383049718,0.12510752486316915,0.1250921081180319,0.12495065020699789,0.12522530137580978,0.12495543169672678,0.12511212166766889,0.1249442411788292
mcsh_l2,MCSH $L_h=2$,0.0,3,0.16680862684277237,0.16663375,0.02740987910141289,0.1666535714285714,0.1666535714285714,0.0,0.0,0.16680862684277237,0.13883335835334934,0.11577066649983322,0.12411685689494055,0.1265881609252954,0.12491340311164531,0.12469340646497028,0.12502056195724784,0.12513717678893566,0.12508280289361132
mcsh_l4,MCSH $L_h=4$,0.0,5,0.2499950992659327,0.24989145833333334,0.0172585716070259,0.24992690476190477,0.24992690476190477,0.0,0.0,0.0,0.0,0.2499950992659327,0.1875691454745695,0.1406369959610121,0.10536629440438032,0.079093618513324,0.1218252129258517,0.13853602926438166,0.1388725649893077
mcsh_l6,MCSH $L_h=6$,0.0,7,0.4998248589692235,0.4995248958333333,0.007142453114694983,0.4996435714285713,0.4996435714285713,0.0,0.0,0.0,0.0,0.0,0.0,0.4998248589692235,0.25018529647435905,0.12501857510184997,0.0625371576486306,0.03122233497026793,0.015596807337610267
pash_a08,PASH $\alpha=0.8$,0.08709060646954991,7,0.13846301488750914,0.17304020833333336,0.028102965371180098,0.17666511833172985,0.17666511833172985,0.0870893970460759,0.08709181589302391,0.0870434760856514,0.08698417066986926,0.08698813396730064,0.08707209067547722,0.13846301488750914,0.13544901008279914,0.1324130309557203,0.1297444889779559,0.12717624607469766,0.12481570352178561
pash_a14,PASH $\alpha=1.4$,0.07133818382824224,7,0.15783576173309302,0.20627770833333334,0.024482942122078712,0.21201512730014144,0.21201512730014144,0.07122278622391146,0.07145358143257302,0.07128005970248814,0.07137512093007739,0.07133279112445777,0.07132830229608865,0.15783576173309302,0.14779553535657053,0.13971534178187403,0.1328438126252505,0.12697757984231978,0.12192052592889602
pash_c15,PASH-cap $p_{\max}=0.15$,0.09940664666046456,7,0.13048027655384203,0.14842083333333334,0.030845840415579546,0.14999168976721106,0.14999168976721106,0.09938914866306597,0.09942414465786314,0.0995425380228137,0.0994804176674673,0.09944778111444777,0.09966438893338675,0.13048027655384203,0.12913014990651708,0.12817561193481597,0.12712069973279894,0.1261552498830761,0.1251984972266774
pash_c14,PASH-cap $p_{\max}=0.14$,0.10517540532916508,7,0.12886217788236864,0.1392203125,0.03230344719622523,0.1399961290758444,0.1399961290758444,0.10518999633259987,0.10516081432573031,0.10482539523714231,0.10492737940352281,0.10508654487821155,0.104961996061941,0.12886217788236864,0.1276552901308761,0.1268665890269151,0.12633193470273885,0.12574852174784523,0.12517980653568567
