scenario,scheme,snr_db,bit_errors,total_bits,frame_errors,total_frames,collisions,active_symbols,detected_collisions,false_alarms,positive_symbols,negative_symbols,collision_variance_sum,max_symbol_collision_sum,ber,ber_ci_low,ber_ci_high,collision_rate,collision_variance,max_symbol_collision,pd,pfa
blind_pbj,fixed_uncoded,4.0,207115,2048000,2000,2000,252419,1024000,7294,1603,252419,771581,248.62520217895508,1713.0625,0.10113037109375,0.10071819292900339,0.10154404558503982,0.2465029296875,0.12431260108947755,0.85653125,0.02889639844861124,0.0020775524539873324
blind_pbj,fixed_uncoded,8.0,122490,2048000,2000,2000,252419,1024000,10475,553,252419,771581,248.62520217895508,1713.0625,0.0598095703125,0.059485624889760676,0.06013516707336152,0.2465029296875,0.12431260108947755,0.85653125,0.04149846089240509,0.0007167102352183374
blind_pbj,fixed_uncoded,12.0,110005,2048000,1933,2000,252419,1024000,14626,193,252419,771581,248.62520217895508,1713.0625,0.05371337890625,0.05340544473571802,0.054022987284263864,0.2465029296875,0.12431260108947755,0.85653125,0.05794334023983932,0.0002501357602118248
blind_pbj,fixed_uncoded,16.0,109100,2048000,1935,2000,252419,1024000,20688,91,252419,771581,248.62520217895508,1713.0625,0.053271484375,0.05296475197125557,0.05357989264395723,0.2465029296875,0.12431260108947755,0.85653125,0.08195896505413618,0.00011793965895997957
blind_pbj,hop_uncoded,4.0,209294,2048000,2000,2000,256200,1024000,25780,523,256200,767800,4.459678649902344,645.828125,0.1021943359375,0.10178023506714891,0.10260992914301788,0.2501953125,0.002229839324951172,0.3229140625,0.10062451209992193,0.0006811669705652514
blind_pbj,hop_uncoded,8.0,124712,2048000,2000,2000,256200,1024000,44746,95,256200,767800,4.459678649902344,645.828125,0.06089453125,0.06056784047499785,0.0612228692929828,0.2501953125,0.002229839324951172,0.3229140625,0.17465261514441843,0.00012373013805678563
blind_pbj,hop_uncoded,12.0,111455,2048000,2000,2000,256200,1024000,70870,13,256200,767800,4.459678649902344,645.828125,0.05442138671875,0.05411153920022548,0.05473290578872344,0.2501953125,0.002229839324951172,0.3229140625,0.27661982825917253,1.6931492576191716e-05
blind_pbj,hop_uncoded,16.0,110508,2048000,2000,2000,256200,1024000,97533,4,256200,767800,4.459678649902344,645.828125,0.053958984375,0.05365038478809663,0.054269257248016574,0.2501953125,0.002229839324951172,0.3229140625,0.38069086651053863,5.209690023443605e-06
sweep,fixed_k7,4.0,8541,151800,159,300,18153,153600,1485,298,18153,135447,13.712772369384766,122.828125,0.056264822134387354,0.05511681831118274,0.05743528376098724,0.11818359375,0.04570924123128255,0.40942708333333333,0.08180466038671294,0.00220012255716258
sweep,fixed_k7,8.0,7303,151800,153,300,18153,153600,2142,106,18153,135447,13.712772369384766,122.828125,0.04810935441370224,0.04704422655382396,0.04919735283192469,0.11818359375,0.04570924123128255,0.40942708333333333,0.11799702528507684,0.0007825939297289715
sweep,fixed_k7,12.0,6688,151800,156,300,18153,153600,2920,46,18153,135447,13.712772369384766,122.828125,0.044057971014492756,0.04303707586786042,0.04510194176332514,0.11818359375,0.04570924123128255,0.40942708333333333,0.1608549551038396,0.00033961623365596876
sweep,fixed_k7,16.0,6742,151800,158,300,18153,153600,3698,16,18153,135447,13.712772369384766,122.828125,0.044413702239789195,0.043388831939244706,0.04546163013868298,0.11818359375,0.04570924123128255,0.40942708333333333,0.2037128849226023,0.00011812738561946739
sweep,hop_k7,4.0,6681,151800,282,300,19045,153600,4640,123,19045,134555,0.3855476379394531,54.015625,0.04401185770750988,0.04299147920191039,0.04505531414914192,0.12399088541666667,0.0012851587931315103,0.18005208333333333,0.24363349960619585,0.0009141243357734755
sweep,hop_k7,8.0,2226,151800,212,300,19045,153600,6913,32,19045,134555,0.3855476379394531,54.015625,0.01466403162055336,0.014071508578773756,0.015281117916053218,0.12399088541666667,0.0012851587931315103,0.18005208333333333,0.3629824100813862,0.00023782096540448145
sweep,hop_k7,12.0,1684,151800,175,300,19045,153600,9191,14,19045,134555,0.3855476379394531,54.015625,0.011093544137022397,0.010578881467083984,0.011632950765997952,0.12399088541666667,0.0012851587931315103,0.18005208333333333,0.4825938566552901,0.00010404667236446063
sweep,hop_k7,16.0,1272,151800,166,300,19045,153600,11030,3,19045,134555,0.3855476379394531,54.015625,0.008379446640316205,0.00793316810526133,0.00885060649712143,0.12399088541666667,0.0012851587931315103,0.18005208333333333,0.5791546337621423,2.2295715506670133e-05
sweep,hop_k7_practical,4.0,4610,151800,264,300,19045,153600,4640,123,19045,134555,0.3855476379394531,54.015625,0.030368906455862977,0.029517482779983964,0.031244098548791656,0.12399088541666667,0.0012851587931315103,0.18005208333333333,0.24363349960619585,0.0009141243357734755
sweep,hop_k7_practical,8.0,992,151800,140,300,19045,153600,6913,32,19045,134555,0.3855476379394531,54.015625,0.0065349143610013176,0.006141884785732832,0.00695291861132039,0.12399088541666667,0.0012851587931315103,0.18005208333333333,0.3629824100813862,0.00023782096540448145
sweep,hop_k7_practical,12.0,274,151800,62,300,19045,153600,9191,14,19045,134555,0.3855476379394531,54.015625,0.0018050065876152833,0.0016037142786535917,0.002031512956161741,0.12399088541666667,0.0012851587931315103,0.18005208333333333,0.4825938566552901,0.00010404667236446063
sweep,hop_k7_practical,16.0,122,151800,29,300,19045,153600,11030,3,19045,134555,0.3855476379394531,54.015625,0.0008036890645586298,0.0006732098863043308,0.000959432979903538,0.12399088541666667,0.0012851587931315103,0.18005208333333333,0.5791546337621423,2.2295715506670133e-05
sweep,hop_k7_oracle,4.0,100,151800,23,300,19045,153600,4640,123,19045,134555,0.3855476379394531,54.015625,0.0006587615283267457,0.0005417097858577915,0.0008010853427884707,0.12399088541666667,0.0012851587931315103,0.18005208333333333,0.24363349960619585,0.0009141243357734755
sweep,hop_k7_oracle,8.0,1,151800,1,300,19045,153600,6913,32,19045,134555,0.3855476379394531,54.015625,6.587615283267457e-06,1.1628768024551411e-06,3.731743281657717e-05,0.12399088541666667,0.0012851587931315103,0.18005208333333333,0.3629824100813862,0.00023782096540448145
sweep,hop_k7_oracle,12.0,1,151800,1,300,19045,153600,9191,14,19045,134555,0.3855476379394531,54.015625,6.587615283267457e-06,1.1628768024551411e-06,3.731743281657717e-05,0.12399088541666667,0.0012851587931315103,0.18005208333333333,0.4825938566552901,0.00010404667236446063
sweep,hop_k7_oracle,16.0,0,151800,0,300,19045,153600,11030,3,19045,134555,0.3855476379394531,54.015625,0.0,0.0,2.53054124571411e-05,0.12399088541666667,0.0012851587931315103,0.18005208333333333,0.5791546337621423,2.2295715506670133e-05
reactive,fixed_k7,4.0,66738,151800,300,300,136802,153600,2525,12,136802,16798,25.162551879882812,300.0,0.4396442687747036,0.4371489636022177,0.44214262860053505,0.8906380208333333,0.08387517293294271,1.0,0.01845733249513896,0.0007143707584236218
reactive,fixed_k7,8.0,65999,151800,300,300,136802,153600,2900,3,136802,16798,25.162551879882812,300.0,0.4347760210803689,0.4322839389806452,0.43727140421946986,0.8906380208333333,0.08387517293294271,1.0,0.02119852048946653,0.00017859268960590546
reactive,fixed_k7,12.0,65321,151800,300,300,136802,153600,3080,1,136802,16798,25.162551879882812,300.0,0.43030961791831357,0.4278207080233751,0.43280205490097784,0.8906380208333333,0.08387517293294271,1.0,0.02251429072674376,5.953089653530182e-05
reactive,fixed_k7,16.0,65240,151800,300,300,136802,153600,3311,0,136802,16798,25.162551879882812,300.0,0.4297760210803689,0.4272875039720845,0.4322680922821551,0.8906380208333333,0.08387517293294271,1.0,0.024202862531249543,0.0
reactive,hop_k7,4.0,6623,151800,285,300,18880,153600,4695,125,18880,134720,0.3902740478515625,53.671875,0.04362977602108037,0.042613690216691674,0.044668959098970965,0.12291666666666666,0.0013009134928385416,0.17890625,0.2486758474576271,0.0009278503562945368
